# ------------------------------------------------------------------------------
# Table "Contenu du document"
#
# 2013-10-04 Version initiale.
# 2014-06-02 Ajout de plusieurs entrées suite à l'intégration du champ résumé 
#            dans le champ notes.
# ------------------------------------------------------------------------------
code;label;description
# ------------------------------------------------------------------------------
# Résumé
# ------------------------------------------------------------------------------
abstract;Résumé;Résumé du document.
abstract-excerpt;Extrait du résumé;Extrait du résumé du document.
back-cover;Quatrième de couverture;Résumé qui figure au dos du livre sur le quatrième de couverture.
back-cover-excerpt;Extrait du 4ème de couverture;Extrait du résumé qui figure au dos du livre sur le quatrième de couverture.
publisher-abstract;Présentation de l'éditeur;Présentation du document réalisée par l'éditeur.
publisher-abstract-excerpt;Extrait de la présentation de l'éditeur;Extrait de la présentation du document réalisée par l'éditeur.
author-abstract;Résumé d'auteur;Résumé réalisé par l'auteur.
# ------------------------------------------------------------------------------
# Général
# ------------------------------------------------------------------------------
general;Note;Note d'information générale (à utiliser si aucun type de note ne convient).
private;Note interne;Note ou remarque "privée", visible uniquement en interne.
warning;Avertissement sur le contenu;Remarques sur un contenu litigieux, un document sujet à caution ou ayant fait l'objet d'un polémique, etc.
comments;Commentaires sur le document;Visibles sur le front-office.
# ------------------------------------------------------------------------------
# Contenu du document
# ------------------------------------------------------------------------------
promo;Accroche promotionnelle;Une phrase de promotion du document.
excerpt;Extrait du document;Extrait du document.
intro;Texte d'introduction;Texte intégral de l'introduction, de la préface ou de l'édito.
intro-excerpt;Extrait de l'introduction;Extrait de l'introduction, de la préface ou de l'édito.
toc;Sommaire;Sommaire ou table des matières.
index;Index;Index des mots-clés.
sample;Échantillon de contenu;Similaire à extrait mais présente un échantillon du document.
# ------------------------------------------------------------------------------
# Critiques
# ------------------------------------------------------------------------------
review;Critique;Texte intégral d'une critique du document.
review-citation;Extrait de critique;Citation ou extrait d'une critique concernant le document.
press;Ce qu'en dit la presse;Mentions et citations dans les médias.
prize;Prix décernés;Prix et mentions qui ont été décernés au document.
# ------------------------------------------------------------------------------
# Auteurs
# ------------------------------------------------------------------------------
author-comment;Commentaire de l'auteur;Commentaire du ou des auteurs.
author-interview;Interview de l'auteur;
funding;Mode de financement;Informations sur le mode de financement du document ou des travaux liés à ce document.
coi;Conflits d'intérêt;Conflits d'intérêts éventuels susceptibles d'altérer la netutralité ou l'impartialité de du document.
# ------------------------------------------------------------------------------
# Catégorisation
# ------------------------------------------------------------------------------
audience;Public visé;A qui s'adresse le document : audience, public visé, niveau, etc.
goals;Objectifs pédagogiques;Objectifs pédagogiques ou éducatifs, objectif de formation, niveau visé, etc.
prerequisites;Pré-requis;Connaissances, techniques et savoirs-faires requis pour appréhender le document.
copyright;Copyright;Remarques ou informations sur les droits d'auteurs, de copie ou de diffusion.
# ------------------------------------------------------------------------------
# Accès
# ------------------------------------------------------------------------------
embargo;Informations sur l'embargo appliqué;Par exemple pour une revue.
access;Modalités d'accès;Comment accéder ou se procurer le document (ou une copie de celui-ci).
# ------------------------------------------------------------------------------
# Infos produit
# ------------------------------------------------------------------------------
price; Informations tarifaires;Informations sur le prix, les tarifs, les conditions, etc.
packaging;Emballage;Remarques sur le packaging, l'emballage, etc.
# ------------------------------------------------------------------------------
# Contact
# ------------------------------------------------------------------------------
address;Adresse postale;Coordonnées postales : à qui s'adresser pour obtenir des informations sur ce document.
contact;Contact;Téléphone/fax/e-mail disponibles pour s'informer sur le document.
