# ------------------------------------------------------------------------------
# Table "Format du document" (étiquettes de collation)
#
# - 11-06-14, DM Version initiale (cf. daniel-menard/prisme#106).
# - 23/09/14, DM Ajout de audiodescription, sdh, bonus et booklet
#             (https://github.com/daniel-menard/prisme/issues/177)
# - 28/01/15, DM Ajout de vost et subtitles-fra/eng/spa/ger/ita/rus/ara
#             (https://github.com/daniel-menard/prisme/issues/177)
# - 17/02/15, DM Hiérarchise les formats de fichiers en introduisant des TG
#             (https://github.com/daniel-menard/prisme/issues/226)
# - 17/05/15, DM Ajout des étiquettes de périodicité
#             (https://github.com/daniel-menard/prisme/issues/224)
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
# ------------------------------------------------------------------------------
# Bibliographie etc.
# ------------------------------------------------------------------------------
bibliography;bibliographie;;;;filmography¤discography¤webography;"Le document comporte une liste organisée de références sur le sujet.";;
discography;discographie;;;;bibliography¤filmography¤webography;"Le document comporte une liste d'œuvres musicales.";;
filmography;filmographie;;;;bibliography¤discography¤webography;"Le document comporte une liste de références de films sur le sujet.";;
webography;webographie;;;;bibliography¤filmography¤discography;"Le document comporte une liste de sites ou de pages web sur le sujet.";;
;vidéographie;filmography;;;;;;
chronology;chronologie;;;;;"Le document fournit une liste organisée d'événements datés.";;
# ------------------------------------------------------------------------------
# Matériel d'accompagnement
# ------------------------------------------------------------------------------
cdrom;cdrom;;;;dvd¤vhs;"Le document inclut un CD-ROM.";;
;cédérom;cdrom;;;;;;
dvd;dvd;;;;cdrom¤vhs;"Le document inclut un DVD.";;
vhs;vhs;;;;cdrom¤dvd;"Le document inclut une cassette vidéo VHS.";;
booklet;livret;;;;appendices¤bonus;"Le document est accompagné d'un livret (livret joint à un dvd par exemple).";;
# ------------------------------------------------------------------------------
# Couleur, langue
# ------------------------------------------------------------------------------
color;couleur;;;;b&w;"Le document est en couleur (en totalité ou dans une proportion importante).";;
b&w;n&b;;;;color;"Le document est en noir et blanc (en totalité ou dans une proportion importante).";;
french-version;VF;;;;original-version¤vost;"Le document est la version française d'un document en langue étrangère.";;
original-version;VO;;;;french-version¤vost;"Le document est en langue étrangère.";;
vost;VOST;;;;original-version¤french-version;"En France, se dit d'un film diffusé en version originale avec des sous-titres en français (Version Originale Sous-Titrée).";;
audio-description;audiodescription;;;;sdh;"Le film ou la vidéo est accessible aux personnes aveugles ou malvoyantes.";;
sdh;sous-titrages sourds et malentendants;;;;audio-description;"Le film ou la vidéo dispose de sous-titres spécialement adaptés aux personnes souffrant d'une déficience auditive.";;
# remarque : en anglais, sdh = subtitles for the deaf and hard-of-hearing
# ------------------------------------------------------------------------------
# Glossaire, index et cie
# ------------------------------------------------------------------------------
glossary;glossaire;;;;lexicon¤index;"Le document comporte une liste détaillée de termes propres au domaine accompagnés d'une définition assez complète.";;
