# ------------------------------------------------------------------------------
# Table des genres de documents.
#
# 2014-07-17 Version initiale au format table.
#            Basée sur les tables qu'on avait avant (tables spécifiques par
#            type) et sur les valeurs trouvées dans les abses Prisme/Afertes.
#            cf. https://github.com/daniel-menard/prisme/issues/93
# 2014-10-16 Ajout des entrées leaving-certificate, licence, master et 
#            doctorate (https://github.com/daniel-menard/prisme/issues/202)
# 2014-12-11 Ajout de HDR et ajout d'un "voir aussi" vers hdr pour thesis, 
#            mémoire et professional-practices. 
#            (https://github.com/daniel-menard/prisme/issues/219)
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
#
# ------------------------------------------------------------------------------
# Forme du document, façon dont il est construit, diffusé, etc.
# ------------------------------------------------------------------------------
bibliography;Bibliographie;;;;;Liste structurée de références d'ouvrages ou d'autres documents sur un ou plusieurs sujets donnés.;article,book;
documentary-record;Dossier documentaire;;;;;Produit documentaire constitué d'un ensemble de documents de sources diverses, choisis et réunis sur une question donnée, et organisé de façon à faciliter l'accès à l'information rassemblée.;article,book;
directory;Annuaire;;;;;Recueil annuel contenant des renseignements statistiques, des notices biographiques, etc., sur l'année précédente, ou des indications sur l'état du personnel, les membres d'une société, etc.;book;
dictionary;Dictionnaire;;;;;Ouvrage didactique constitué par un ensemble d'articles dont l'entrée constitue un mot, indépendants les uns des autres et rangés dans un ordre déterminé, le plus souvent alphabétique.;book;
focus;Dossier;;;;;Ensemble de documents se rapportant à un même sujet, à une même affaire, à un même événement, etc.;book;
reading-guide;Fiche de lecture;;;;;Analyse critique, linéaire ou thématique, permettant de connaître les concepts traités dans un écrit, les thèses développées, les résultats obtenus, les méthodes utilisées, etc. La fiche de lecture doit permettre de se passer de la lecture de l'œuvre tout en donnant envie de lire le texte traité.;book;
guide;Guide;;;;;Document écrit (livre, brochure, ou document informatique) qui regroupe un ensemble d'informations concernant un thème particulier (guide touristique, guide d'achats, guide télé, etc.).;book,video;
children-literature;Littérature jeunesse;;;;children-book¤children-picture-book;Secteur de l'édition, parfois régi par des lois spécifiques, spécialisé dans les publications destinées aux enfants et adolescents.;book;
children-book;Livre pour enfants;;;;children-literature;Livre destiné aux enfants et aux adolescents.;book;
children-picture-book;Album jeunesse;;;;children-literature;Album destiné aux enfants et aux adolescent dans lequel l'image a une place prépondérante par rapport au texte.;book;
art-book;Livre d'art;;;;;Catégorie de livres où les illustrations à caractère artistique tiennent une place prépondérante par rapport au texte.;book;
clip;Clip;;;;;Œuvre multimédia, audiovisuelle la plupart du temps et souvent courte, réalisée à partir d'un morceau de musique ou d'une chanson.;video;
show;Spectacle;;;;;Divertissement offert à un public.;video;
radio-broadcats;Émission de radio;;;;;Production radiophonique, diffusée en direct ou en différé, qui est identifiée par un titre. ;video;
#
#book : supprimé, c'est un type, pas un genre
#book;Livre;;;;art-book¤children-book;Ensemble de pages reliées entre elles et contenant des signes destinés à être lus.;book;
#
# ------------------------------------------------------------------------------
# Genres littéraires
# ------------------------------------------------------------------------------
novel;Roman;;;;story¤short-story;Récit en prose d'une certaine longueur, dont l'intérêt est dans la narration d'aventures, l'étude de mœurs ou de caractères, l'analyse de sentiments, etc.;book;
