# ------------------------------------------------------------------------------
# Table "Autres titres"
#
# sources : onix list 73
#
# 2013-10-03 Version initiale
# ------------------------------------------------------------------------------
code;label;description
#
# ------------------------------------------------------------------------------
# G - General.
# ------------------------------------------------------------------------------
G01;Url;
G02;Courriel;
#
# ------------------------------------------------------------------------------
# D - Doc. Infos sur le document
# ------------------------------------------------------------------------------
D01;Présentation du document;
D02;Extrait du document;
D03;Texte intégral du document;Document en open-access
D04;Accès à la version en ligne;Page donnant accès à la version numérique (document payant ou inscription préalable).
D05;Site de l'auteur sur le document;
D06;Site de l'éditeur sur le document;Site web spécifique mis en place par l'éditeur pour ce document
D07;Site tiers sur le document;
D08;Site de réseau social sur le document;
D09;Critique du document;
#
# ------------------------------------------------------------------------------
# S - Serie. Infos sur la collection/l'ensemble dont fait partie le document
# ------------------------------------------------------------------------------
S01;Site du journal;Site ou page sur laquelle on trouve des informations relatives au journal.
S02;Site de la version en ligne du journal;Site sur lequel on peut accéder à la version électronique du journal.
S03;Site de la collection;
#
# ------------------------------------------------------------------------------
# A - Author. Infos sur un auteur
# ------------------------------------------------------------------------------
A01;Adresse e-mail de l'auteur;
A02;Site de l'auteur;Site web personnel ou page de l'auteur ou de l'un des contributeurs (CV, publications...)
A03;Site de l'éditeur sur l'auteur;Page ou site d'information de l'éditeur sur l'auteur. 
A04;Site tiers sur l'auteur;Page ou site d'information de l'éditeur sur l'auteur. 
A05;Site de réseau social de l'auteur;
A06;Interview de l'auteur;
#
# ------------------------------------------------------------------------------
# P - Publisher. Infos sur l'éditeur
# ------------------------------------------------------------------------------
P01;Adresse e-mail de l'éditeur;
P02;Site de l'éditeur;Site institutionnel de l'éditeur
P03;Site de réseau social sur l'éditeur;
P04;Achat/commande/abonnement;
