# ------------------------------------------------------------------------------
# Table des supports de documents
#
# Correspond à la liste 150 de Onix for Books 
# avec en plus la liste  7S de Onix for Serials 
#
#
# 2013-11-02 Version initiale au format table, basée sur list 7 de Onix Books.
# 2014-03-31 Révision complète. 
#            Passage à la liste 150 de Onix Books (rev 24) 
#            + liste 7S de Onix Serials (rev 6)
#            Mise au format thesaurus 
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
#
# 00;Non défini;;;;;;;
#
# ------------------------------------------------------------------------------
# A - Audio
# ------------------------------------------------------------------------------
AA;Audio;;;;;Enregistrement audio – sans informations détaillées.;;
AB;Cassette audio;;;AA;;Cassette audio (analogique).;;
AC;CD audio;;;AA;;CD audio, dans n’importe quel format d’enregistrement : utiliser <ProductFormDetail> pour spécifier le format, si nécessaire.;;
AD;DAT;;;AA;;Cassette DAT (Digital Audio Tape).;;
AE;Disque audio;;;AA;;Disque audio (à l’exclusion des CD).;;
AF;Bande audio;;;AA;;Bande audio (à enroulement).;;
AG;MiniDisc;;;AA;;Format Sony MiniDisc.;;
AH;CD-Extra;;;AA;;CD audio avec contenu partiel sur CDROM.;;
AI;DVD audio;;;AA;;;;
AJ;Fichier audio téléchargeable;;;AA;;Enregistrement audio téléchargeable en ligne.;;
AK;Lecteur audio numérique préenregistré;;;AA;;Par exemple, livre audio « Playaway » et lecteur : utiliser le codage <ProductFormDetail> pour spécifier le format d’enregistrement, si nécessaire.;;
AL;Carte SD préenregistrée;;;AA;;Par exemple, livre audio Audiofy.;;
AZ;Autre format audio;;;AA;;Autre format audio non spécifié par les codes AB à AL.;;
# ------------------------------------------------------------------------------
# B - Book : livres
# ------------------------------------------------------------------------------
BA;Livre;;;;;Livre – sans spécification de détail.;;
BB;Livre relié;;;BA;;Livre relié ou livre cartonné.;;
BC;Livre broché / livre de poche broché;;;BA;;Livre broché ou autre livre de poche.;;
BD;Feuillets mobiles;;;BA;;Livre à feuillets mobiles;;
BE;Reliure spiralée;;;BA;;Livre à reliure spirale, peigne ou anneau.;;
BF;Brochure;;;BA;;"Brochure ou opuscule agrafé ; en allemand, « geheftet ».";;
BG;Reliure cuir;;;BA;;;;
BH;Livre en carton;;;BA;;Livre pour enfant entièrement imprimé sur carton.;;
BI;Livre en tissu;;;BA;;Livre pour enfant entièrement imprimé sur tissu.;;
BJ;Livre bain;;;BA;;Livre pour enfant entièrement imprimé sur un matériau imperméable.;;
BK;Livre fantaisie;;;BA;;"Livre dont l’originalité consiste totalement ou partiellement en un format qui ne peut être décrit par aucun autre code disponible – privilégier toujours un code de format « conventionnel » ; un ou plusieurs codes du <ProductFormDetail>, extraits par exemple du groupe B2nn, doivent être utilisés chaque fois que possible pour fournir une description supplémentaire.";;
BL;Reliure à réglette;;;BA;;Livre à reliure à réglette.;;
BM;Grand format;;;BA;;"Très grand format destiné à l’enseignement, etc.; ce format et cette terminologie peuvent être spécifiques au Royaume-Uni ; requis comme différenciateur de niveau supérieur.";;
BN;Fascicule;;;BA;;Fascicule publié avec son propre numéro ISBN et destiné à être réuni et relié dans un seul et même livre.;;
BO;Livre ou graphique dépliant;;;BA;;Livre ou graphique en accordéon, conçu pour être plié au format de poche ou au format de page normal : à utiliser pour le format allemand « Leporello ».;;
;Leporello;BO;;;;;;
BP;Livre en mousse;;;BA;;Livre pour enfant dont la couverture et les pages sont en mousse.;;
BZ;Autre format de livre;;;BA;;Autre format de livre ou de reliure non spécifié par les codes BB à BP.;;
# ------------------------------------------------------------------------------
# C - Cartographie (cartes)
# ------------------------------------------------------------------------------
CA;Carte;;;;;Carte – sans informations détaillées.;;
CB;Carte pliée;;;CA;;;;
CC;Carte à plat;;;CA;;;;
CD;Carte roulée;;;CA;;Voir liste de code 80 pour « roulée sous tube ».;;
CE;Globe;;;CA;;Globe ou planisphère.;;
CZ;Autre carte;;;CA;;Autre format cartographique non spécifié par les codes CB à CE.;;
# ------------------------------------------------------------------------------
# D - Digital : Supports numériques
# ------------------------------------------------------------------------------
DA;Contenu numérique (sur support physique);;;;;Contenu numérique fourni sur un support physique (sans informations détaillées).;;
DB;CD-ROM;;;DA;;;;
DC;CD-I;;;DA;;CD interactif.;;
DE;Cartouche de jeu;;;DA;;;;
DF;Disquette;;;DA;;;;
DI;DVD-ROM;;;DA;;;;
DJ;Carte mémoire SD (Secure Digital);;;DA;;;;
DK;Carte mémoire flash compact;;;DA;;;;
DL;Carte mémoire MS (Memory Stick);;;DA;;;;
DM;Clé USB;;;DA;;;;
DN;CD/DVD double face;;;DA;;Disque double face, une face audio CD/CD-ROM, une autre face DVD.;;
DZ;Autre support numérique;;;DA;;Autre support de contenu numérique ou multimédia non spécifié par les codes DB à DN.;;
# ------------------------------------------------------------------------------
# E - Electronique : Documents numériques
# ------------------------------------------------------------------------------
EA;Contenu numérique (fourni par voie électronique);;;;;Contenu numérique fourni électroniquement (méthode de livraison non spécifiée).;;
EB;Contenu numérique à télécharger ou en ligne;;;EA;;Contenu numérique accessible par téléchargement ou consultable en ligne.;;
EC;Contenu numérique en ligne;;;EA;;Contenu numérique uniquement accessible en ligne.;;
ED;Contenu numérique à télécharger;;;EA;;Contenu numérique accessible en téléchargement uniquement.;;
# ------------------------------------------------------------------------------
# F - Films et transparents
# ------------------------------------------------------------------------------
FA;Film ou transparent;;;;;Film ou support transparent – sans informations détaillées.;;
FC;Diapositives;;;FA;;Diapositives photo montées pour la projection.;;
FD;Transparents OHP;;;FA;;Transparents pour rétroprojecteur.;;
FE;Film fixe;;;FA;;;;
FF;Film;;;FA;;Film continu, par opposition à film fixe.;;
FZ;Autre format de film ou de transparent;;;FA;;Autre format de film ou de support transparent non spécifié par les codes FB à FF.;;
# ------------------------------------------------------------------------------
# J - Journaux et périodiques
# ------------------------------------------------------------------------------
JA;Périodique;;;;;;;
JB;Périodique imprimé;;;;;;;
JC;Périodique en version numérique (sur CD);;;;;Périodique distribué en version électronique sur CD-ROM ou autre support physique.;;
JD;Périodique en version numérique (en ligne);;;;;;;
# ------------------------------------------------------------------------------
# L - Licences
# ------------------------------------------------------------------------------
