# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# relators.txt
#
# Ce fichier a été généré automatiquement à partir des données RDF disponibles
# à l'adresse http://id.loc.gov/vocabulary/relators
#
# Licence : "The Library of Congress has prepared this vocabulary terminology
#            system and is making it available as a public domain data set".
#
# Date de génération : 18/02/2015 17:56:14
#
# La table est triée par codes croissants. Les non-descripteurs (les entrées 
# qui n'ont pas de code) apparaissent juste après le descripteur auquel ils 
# sont rattachés (cf. script lc-autorithy.php).
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
abr;Abridger;;;;aut;"A person, family, or organization contributing to a resource by shortening or condensing the original work but leaving the nature and content of the original work substantially unchanged. For substantial modifications that result in the creation of a new work, see author";;"2013-05-15:modified
1970-01-01:new"
acp;"Art copyist";;;;;"A person (e.g., a painter or sculptor) who makes copies of works of visual art";;"2013-05-15:modified
1970-01-01:new"
act;Actor;;;;;"A performer contributing to an expression of a work by acting as a cast member or player in a musical or dramatic presentation, etc.";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
adi;"Art director";;;;;"A person contributing to a motion picture or television production by overseeing the artists and craftspeople who build the sets";"Changed RDA def";2013-05-15:new
adp;Adapter;;;;;"A person or organization who 1) reworks a musical composition, usually for a different medium, or 2) rewrites novels or stories for motion pictures or other audiovisual medium.";;"2013-05-15:modified
1970-01-01:new"
aft;"Author of afterword, colophon, etc.";;;;;"A person or organization responsible for an afterword, postface, colophon, etc. but who is not the chief author of a work";;"2013-05-15:modified
1970-01-01:new"
anl;Analyst;;;;;"A person or organization that reviews, examines and interprets data or information in a specific area";;"2013-05-15:modified
1970-01-01:new"
anm;Animator;;;;art;"A person contributing to a moving image work or computer program by giving apparent movement to inanimate objects or drawings. For the creator of the drawings that are animated, see artist";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
ann;Annotator;;;;;"A person who makes manuscript annotations on an item";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
ant;"Bibliographic antecedent";;;;;"A person or organization responsible for a resource upon which the resource represented by the bibliographic description is based. This may be appropriate for adaptations, sequels, continuations, indexes, etc.";;"2013-05-15:modified
1970-01-01:new"
ape;Appellee;;;;;"A person or organization against whom an appeal is taken";"MARC had more specific roles";2013-05-15:new
apl;Appellant;;;;;"A person or organization who appeals a lower court's decision";"MARC had more specific roles";2013-05-15:new
app;Applicant;;;;;"A  person or organization responsible for the submission of an application or who is named as eligible for the results of the processing of the application (e.g., bestowing of rights, reward, title, position)";;"2013-05-15:modified
1970-01-01:new"
aqt;"Author in quotations or text abstracts";;;;;"A person or organization whose work is largely quoted or extracted in works to which he or she did not contribute directly. Such quotations are found particularly in exhibition catalogs, collections of photographs, etc.";;"2013-05-15:modified
1970-01-01:new"
arc;Architect;;;;;"A person, family, or organization responsible for creating an architectural design, including a pictorial representation intended to show how a building, etc., will look when completed. It also oversees the construction of structures";"changed MARC def";"2013-05-15:modified
1970-01-01:new"
ard;"Artistic director";;;;;"A person responsible for controlling the development of the artistic style of an entire production, including the choice of works to be presented and selection of senior production staff";;"2013-05-15:modified
1970-01-01:new"
arr;Arranger;;;;cmp;"A person, family, or organization contributing to a musical work by rewriting the composition for a medium of performance different from that for which the work was originally intended, or modifying the work for the same medium of performance, etc., such that the musical substance of the original composition remains essentially unchanged. For extensive modification that effectively results in the creation of a new musical work, see composer";"changed MARC def; changed RDA term";"2013-05-15:modified
1970-01-01:new"
;"Arranger of music";arr;;;;;;
art;Artist;;;;;"A person, family, or organization responsible for creating a work by conceiving, and implementing, an original graphic design, drawing, painting, etc. For book illustrators, prefer Illustrator [ill]";"""changed MARC def; Relator term """"Graphic technician"""" (coded [grt]) used before March 1988 only""";"2013-05-15:modified
1970-01-01:new"
;"Graphic technician";art;;;;;;
asg;Assignee;;;;;"A person or organization to whom a license for printing or publishing has been transferred";;"2013-05-15:modified
1970-01-01:new"
asn;"Associated name";;;;;"A person or organization associated with or found in an item or collection, which cannot be determined to be that of a Former owner [fmo] or other designated relationship indicative of provenance";;"2013-05-15:modified
1970-01-01:new"
ato;Autographer;;;;;"A person whose manuscript signature appears on an item";;2013-05-15:new
att;"Attributed name";;;;;"An author, artist, etc., relating him/her to a resource for which there is or once was substantial authority for designating that person as author, creator, etc. of the work indicative of provenance";;"2013-05-15:modified
1970-01-01:new"
;"Supposed name";att;;;;;;
auc;Auctioneer;;;;;"A person or organization in charge of the estimation and public auctioning of goods, particularly books, artistic works, etc.";;"2013-05-15:modified
1970-01-01:new"
aud;"Author of dialog";;;;;"A person or organization responsible for the dialog or spoken commentary for a screenplay or sound recording";;"2013-05-15:modified
1970-01-01:new"
