# ------------------------------------------------------------------------------
# This file is part of a Docalist plugin.
#
# Copyright (C) 2012-2015 Daniel Ménard
#
# For copyright and license information, please view the
# LICENSE file that was distributed with this source code.
#
# @author Daniel Ménard <daniel.menard@laposte.net>
# ------------------------------------------------------------------------------
#
# ------------------------------------------------------------------------------
# marc21-relators_fr.txt
#
# Ne pas modifier directement cette table, utiliser le fichier de travail ODS
# qui figure dans ../not-used.
#
# Initiallement, ce fichier était basé sur les données disponibles sur la page 
# http://www.lac-bac.gc.ca/marc/040010-220-f.html
#
# Depuis, de nombreuses erreurs ont été corrigées et la majorité des libellés
# et des descriptions ont été ré-écrits (traduction humaine, pas de traduction
# automatique !).
#
# Date de génération : 14/03/2014 17:30:45
# Historique :
# - 18/03/14, DM Ajout des codes win et wpr qui figurent dans la version en 
#                anglais, traduction des libellés et des définitions.
# - 18/03/14, DM Correction des codes ctb (contributeur) et clb (collaborateur).
#                Le code clb est maintenant deprecated (use ctb).
# - 26/09/14, DM On avait deux fois la ligne ctb.
#                (https://github.com/daniel-menard/prisme/issues/189)
# - 04/03/15, DM Remaniement complet de la table
#             - travail effectué du 18/02 au 04/03
#             - tri dans le même ordre que la table EN pour pouvoir comparer
#             - création du fichier de travail ODS
#             - traduction manuelle de tous les libellés/descriptions (plusieurs
#               des traductions d'origine étaient incompréhensibles ou 
#               inutilement compliquées)
#             - ajout de tous les codes ajoutés en 2014 dans la table EN et qui
#               ne figuraient pas encore dans la table FR 
#               (https://github.com/daniel-menard/prisme/issues/166)
#             - traduction des libellés et des descriptions des nouveaux codes
#             - correction de nombreuses erreurs (le fichier ODS permet de les 
#               détecter) : libellés en double, sens différent de ce que disait 
#               la table EN, non-descripteur sans USE, etc.)
#             - Au final, au 04/03/15 la table FR est parfaitement synchro
#               avec la table EN.
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HS
abr;Abréviateur;;;;aut;Une personne, un groupe ou un organisme qui contribue à une ressource en raccourcissant ou en condensant l'œuvre originale, mais en laissant la nature et le contenu de cette œuvre originale pratiquement inchangée. Pour des modifications substantielles qui se traduisent par la création d'un nouveau travail, voir auteur (aut).;;"2013-05-15:modified
1970-01-01:new"
acp;Copiste d'art;;;;;Une personne (un peintre ou un sculpteur), qui produit des copies d'œuvres d'art visuel.;;"2013-05-15:modified
1970-01-01:new"
act;Acteur;;;;;Une personne qui joue dans une représentation musicale ou théâtrale.;changed MARC def;"2013-05-15:modified
1970-01-01:new"
adi;Chef décorateur;;;;;Une personne contribuant à une production cinématographique ou télévisuelle en supervisant les artistes et les artisans qui construisent les décors.;Changed RDA def;2013-05-15:new
adp;Adaptateur;;;;;Une personne ou un organisme qui 1) remanie une composition musicale, en général pour d'autres instruments ou 2) réécrit des romans ou des nouvelles pour l'écran ou un autre médium audio-visuel.;;"2013-05-15:modified
1970-01-01:new"
aft;Auteur de la postface, de l'achevé d'imprimer, etc.;;;;;Une personne ou un organisme responsable d'une postface, d'un achevé d'imprimer, etc., mais qui n'est pas l'auteur principal de l'œuvre.;;"2013-05-15:modified
1970-01-01:new"
anl;Analyste;;;;;Une personne ou un organisme qui vérifie, étudie et analyse des données ou de l'information dans un domaine particulier.;;"2013-05-15:modified
1970-01-01:new"
anm;Animateur 2D et 3D;;;;art;Une personne ou un organisme qui contribue à un film ou à un logiciel en donnant un mouvement apparent à des objets inanimés ou à des dessins. Pour désigner l'auteur des dessins qui sont animés, voir artiste (art).;changed MARC def;"2013-05-15:modified
1970-01-01:new"
ann;Annotateur;;;;;Une personne qui ajoute des notes manuscrites sur un ouvrage imprimé.;changed MARC def;"2013-05-15:modified
1970-01-01:new"
ant;Antécédent bibliographique;;;;;L'auteur de l'œuvre sur laquelle est fondée l'œuvre décrite dans la notice bibliographique. Peut être utilisé dans le cas d'adaptations, de suites, d'index, etc.;;"2013-05-15:modified
1970-01-01:new"
